road_id,road_type,road_length_km,road_condition,road_width_m,traffic_level,elevation_m,slope_degree,rainfall_mm,temperature_c,previous_disruptions,previous_accidents,flood,landslide,bridge_damage,road_accessible,risk_score,risk_category
R00058,State Highway,15.62,0,3.48,0,611.3,37.53,74.26,20.31,2,1,0,0,0,1,0.18969378012443278,Safe
R00059,Highway,10.77,3,8.21,1,1101.6,12.85,85.78,29.33,2,1,0,0,0,1,0.20005273501511917,Safe
R00060,State Highway,6.68,1,10.22,0,984.6,33.91,46.51,24.23,1,1,0,0,0,1,0.09223558624477818,Safe
R00061,State Highway,5.53,1,8.05,1,865.2,38.59,108.16,28.85,2,2,1,0,0,1,0.37223498938968375,Moderate
R00062,State Highway,1.24,1,3.57,2,569.8,26.56,115.33,33.22,2,0,1,0,0,1,0.3597315990270131,Moderate
R00063,Village Road,11.87,2,9.24,0,1910.0,16.48,159.94,33.65,1,2,0,0,0,1,0.21166906894915727,Safe
R00064,State Highway,4.98,2,3.55,2,261.6,19.84,97.94,20.73,4,3,0,1,0,0,0.4204180860225041,Moderate
R00065,State Highway,3.39,3,10.36,2,2224.5,35.38,52.83,11.74,2,1,1,0,0,0,0.4261921004079249,Moderate
R00066,District Road,13.25,1,3.39,3,478.8,13.2,28.99,10.31,1,2,0,0,0,1,0.10052098575070881,Safe
R00067,Highway,13.78,0,4.24,1,2450.7,15.05,52.48,27.63,2,2,0,0,0,1,0.18506459348532023,Safe
R00068,Village Road,15.17,1,5.48,1,2471.7,7.24,70.17,12.04,1,2,0,0,0,1,0.05719865643538362,Safe
R00069,Highway,10.32,1,8.7,1,1026.0,17.96,81.11,19.75,1,1,0,0,0,1,0.14146264523533178,Safe
R00070,Village Road,17.93,1,11.79,3,2470.2,3.89,60.4,26.56,3,0,0,1,0,1,0.3725751211127238,Moderate
R00071,Village Road,18.76,1,4.06,2,2179.2,14.45,65.75,34.96,0,0,1,0,0,1,0.3571839956930654,Moderate
R00072,State Highway,16.24,0,4.28,1,252.0,16.81,106.23,15.58,1,4,0,1,0,1,0.3836620309062084,Moderate
R00073,Highway,12.89,1,6.32,3,2371.0,11.5,119.91,10.24,1,1,0,0,0,1,0.21740088426119583,Safe
R00074,Village Road,6.42,1,10.53,2,154.2,4.56,201.44,11.03,6,1,1,0,0,1,0.49838271980992316,Moderate
R00075,District Road,19.67,2,7.21,3,495.7,23.48,70.6,15.58,2,2,0,0,0,1,0.18441320669611863,Safe
R00076,District Road,5.85,1,5.89,2,1482.3,38.93,63.04,34.83,4,1,0,0,1,1,0.3500724499020632,Moderate
R00077,Village Road,4.45,0,8.05,2,247.8,15.1,98.19,11.93,2,1,1,0,0,1,0.4100798088609243,Moderate
R00078,Highway,9.12,1,5.34,2,446.2,10.66,93.76,28.73,3,2,0,0,0,1,0.10228103410228064,Safe
R00079,State Highway,1.61,2,6.61,0,2386.1,12.83,57.39,13.75,2,1,0,0,0,1,0.1999316912104917,Safe
R00080,Highway,19.58,1,5.99,3,2487.0,38.78,92.96,15.09,4,0,0,1,0,1,0.47455528312633416,Moderate
R00081,Village Road,11.97,1,10.24,1,2005.4,23.75,232.64,12.15,1,1,1,0,0,1,0.4670697737673299,Moderate
R00082,District Road,11.36,1,11.32,1,1312.3,5.89,57.05,15.7,3,3,1,0,0,1,0.28080725124508654,Moderate
R00083,State Highway,13.29,0,9.84,2,2255.7,31.91,24.82,12.89,2,1,0,0,0,1,0.11892698959546724,Safe
R00084,Highway,10.19,2,6.95,2,324.2,6.95,62.4,10.44,1,3,0,0,1,1,0.1982563841295033,Safe
R00085,State Highway,1.13,0,7.54,2,2360.1,2.71,24.49,29.97,7,3,0,0,0,1,0.0708734073654136,Safe
R00086,State Highway,12.44,1,4.13,1,911.3,11.51,41.55,14.76,2,2,0,0,0,1,0.11574257509790645,Safe
R00087,District Road,14.47,0,9.72,1,2160.6,7.56,76.03,12.97,1,2,0,0,0,1,0.09974616327321548,Safe
R00088,District Road,8.63,0,8.37,0,1687.5,27.22,37.12,16.81,1,2,0,0,0,1,0.06544447102718416,Safe
R00089,Village Road,15.27,1,11.12,1,2402.7,21.81,158.19,28.84,1,0,0,1,1,1,0.5095773734252208,High
R00090,District Road,4.93,1,4.81,2,2168.5,32.58,52.07,15.62,0,0,0,0,0,1,0.17976164135310213,Safe
R00091,Highway,4.81,2,9.84,1,2225.3,23.02,141.22,23.55,2,1,0,1,0,0,0.5260073326148583,High
R00092,District Road,3.65,2,9.16,1,1597.8,18.86,25.95,15.43,2,0,0,0,0,1,0.13242084358405987,Safe
R00093,Village Road,7.75,2,5.39,0,2091.2,23.68,28.37,19.68,4,2,0,0,0,1,0.19176319272689749,Safe
R00094,District Road,17.02,1,9.01,2,1905.0,19.55,64.26,23.03,4,0,0,0,0,1,0.09428764262117935,Safe
R00095,Village Road,16.64,1,11.32,0,446.0,1.67,36.72,28.95,2,0,0,0,0,1,0.09366398237932501,Safe
R00096,District Road,7.97,1,11.27,2,1639.1,30.63,32.78,17.04,1,0,1,1,1,0,0.6571091550586554,High
R00097,District Road,11.99,1,9.48,1,413.0,43.3,84.35,21.16,3,0,1,0,0,1,0.40163637668172625,Moderate
R00098,District Road,14.56,1,3.43,0,2180.2,18.99,27.51,26.07,1,4,0,0,0,1,0.13744364917901844,Safe
R00099,Highway,5.2,3,10.85,2,211.6,19.07,131.44,16.88,3,1,0,1,0,0,0.4575666408380833,Moderate
R00100,Highway,3.78,0,8.92,1,2468.3,2.06,95.69,15.5,5,3,0,1,0,1,0.3582462918008061,Moderate
R00101,Highway,19.46,3,5.79,1,1031.5,40.07,97.2,24.22,2,0,0,1,0,0,0.5383576793350199,High
R00102,District Road,12.54,0,4.69,2,468.0,41.81,134.77,33.81,1,3,0,1,1,1,0.5196262201611467,High
R00103,State Highway,19.64,0,4.05,2,2342.4,36.59,99.18,32.75,5,1,0,1,0,1,0.46515355837487604,Moderate
R00104,District Road,7.09,0,3.45,2,161.3,4.79,53.53,25.01,1,3,0,0,0,1,0.05504775213521837,Safe
R00105,Village Road,14.21,1,9.79,2,1201.8,40.51,116.25,20.55,5,1,1,0,1,1,0.5118790073885985,High
R00106,State Highway,4.84,0,5.12,1,1937.1,1.08,59.45,24.15,2,0,1,0,1,1,0.37042531572196735,Moderate
R00107,District Road,5.59,2,3.22,1,826.0,20.01,73.07,30.05,0,2,0,1,0,0,0.3145098954371162,Moderate
R00108,Village Road,10.48,2,6.58,0,1345.6,22.53,75.87,12.32,2,3,0,0,0,1,0.15407060405930859,Safe
R00109,State Highway,6.73,1,7.34,3,1766.0,37.53,25.06,29.53,1,2,0,1,0,1,0.4283674853539294,Moderate
R00110,Highway,3.77,1,4.52,3,2382.3,33.79,135.75,26.45,1,2,0,0,0,1,0.27402483792380716,Moderate
R00111,State Highway,5.63,3,3.4,1,301.6,35.87,133.58,16.73,3,1,0,0,0,1,0.3224586973116062,Moderate
R00112,State Highway,1.2,2,4.7,0,435.2,39.06,46.9,31.9,4,1,0,1,0,0,0.400491557556626,Moderate
R00113,Village Road,14.24,1,9.11,0,1296.7,21.42,38.04,12.0,2,1,0,0,0,1,0.04810122693567051,Safe
R00114,Village Road,10.1,2,3.74,2,1075.3,35.11,74.55,32.97,2,0,0,1,0,0,0.4796757815931269,Moderate
R00115,District Road,2.34,1,8.0,0,1056.5,3.06,142.16,19.7,0,3,1,1,0,1,0.5834692837027864,High
R00116,Village Road,3.85,1,4.32,2,777.6,20.0,29.49,30.26,0,2,1,0,0,1,0.3726806951735778,Moderate
R00117,Village Road,2.5,0,4.76,3,1423.7,1.36,35.85,13.86,1,4,0,0,0,1,0.059607856965646536,Safe
R00118,State Highway,12.45,1,6.54,3,2214.1,41.19,188.83,24.19,0,2,1,0,0,1,0.5787646690782982,High
R00119,Village Road,2.34,0,3.91,0,444.3,43.13,9.81,10.84,2,1,0,0,0,1,0.12162272728892176,Safe
R00120,District Road,15.21,1,4.56,3,577.5,3.78,49.95,16.97,2,1,1,1,0,1,0.5520769860814243,High
R00121,Village Road,0.9,1,6.14,2,1693.5,23.97,115.06,30.74,2,3,0,0,0,1,0.27180673242801634,Moderate
R00122,Village Road,5.36,3,5.97,0,187.7,14.63,156.54,21.36,4,1,0,0,0,1,0.26805409657459894,Moderate
R00123,State Highway,17.87,3,9.74,1,1700.7,15.41,144.69,26.49,2,2,0,0,0,1,0.2642930326985095,Moderate
R00124,Highway,14.51,1,3.67,2,820.4,20.28,37.83,30.18,1,1,0,0,0,1,0.18045547028599548,Safe
R00125,State Highway,1.92,1,10.74,3,926.7,5.63,89.6,23.26,2,1,1,0,0,1,0.4279116770385762,Moderate
R00126,District Road,16.51,0,10.35,0,1043.6,8.13,114.19,24.65,1,0,0,0,0,1,0.12201679027742501,Safe
R00127,Village Road,10.11,1,9.89,0,906.5,25.98,94.23,29.16,2,1,0,1,1,1,0.4008178565051773,Moderate
R00128,Village Road,17.01,0,5.78,1,2111.0,0.84,391.06,13.01,0,0,1,0,0,1,0.3646996685684877,Moderate
R00129,Highway,12.21,0,10.41,3,2367.9,26.99,38.22,11.79,2,1,0,0,0,1,0.16103657448537567,Safe
R00130,District Road,13.8,1,4.65,3,1392.6,14.35,106.38,25.55,3,1,0,0,0,1,0.14311342023003437,Safe
R00131,District Road,19.87,0,4.12,0,1475.6,37.45,5.28,34.38,1,1,0,0,0,1,0.05776415491543575,Safe
R00132,State Highway,5.03,0,3.4,1,222.7,27.0,88.88,26.12,2,0,0,0,0,1,0.15725980949737153,Safe
R00133,Highway,12.67,2,11.45,3,1797.3,31.86,12.34,27.63,2,2,0,0,0,1,0.07007718051049022,Safe
R00134,State Highway,9.48,0,5.77,2,1481.0,5.15,142.15,26.46,4,2,1,0,0,1,0.3356742066544708,Moderate
R00135,Village Road,1.27,0,11.26,3,173.5,11.96,136.86,25.14,0,0,1,0,0,1,0.3364382941542249,Moderate
R00136,State Highway,0.78,0,5.45,2,536.1,44.85,57.27,14.94,1,3,0,1,0,1,0.3887924144525265,Moderate
R00137,District Road,2.82,0,11.17,0,544.8,19.51,77.45,31.01,4,0,0,0,0,1,0.1329285015100321,Safe
R00138,District Road,13.16,0,11.14,2,468.9,16.15,164.54,24.41,3,1,1,1,0,1,0.6202927132771924,High
R00139,State Highway,11.56,2,11.31,0,1663.7,39.32,81.66,34.46,2,1,0,0,0,1,0.2062079961059448,Safe
R00140,Village Road,11.29,0,7.47,2,2324.7,1.49,75.06,11.73,2,3,0,0,0,1,0.11276943075886235,Safe
R00141,Village Road,1.12,2,10.79,1,1919.3,24.06,9.85,17.46,5,1,0,0,0,1,0.1042044098168198,Safe
R00142,State Highway,9.65,0,11.56,3,1219.6,9.46,48.34,12.48,2,0,0,0,0,1,0.10277575544566439,Safe
R00143,District Road,18.53,1,5.92,3,1039.9,16.57,16.96,31.48,3,2,1,1,0,1,0.511928577107281,High
R00144,State Highway,8.25,1,6.77,0,996.8,8.99,21.27,30.45,0,3,0,0,0,1,0.060376641451699416,Safe
R00145,State Highway,12.69,1,9.47,0,1523.1,1.7,89.52,29.33,1,3,0,0,0,1,0.11352573693764346,Safe
R00146,Highway,15.71,1,5.7,1,930.1,18.74,84.83,26.97,1,0,0,0,0,1,0.13146291866337687,Safe
R00147,District Road,15.79,3,9.78,2,604.0,35.51,63.17,12.66,2,1,1,0,0,0,0.4803750653642337,Moderate
R00148,District Road,10.63,0,3.67,2,1527.0,42.84,95.13,20.15,2,4,0,0,0,1,0.18885064111268604,Safe
R00149,Highway,17.23,1,7.71,3,1007.2,28.07,72.53,27.61,2,2,0,0,0,1,0.24896032989003683,Safe
R00150,State Highway,8.13,2,4.1,1,84.6,17.5,60.79,19.02,1,3,0,0,1,1,0.28548268022669543,Moderate
R00151,Village Road,17.83,0,5.64,0,104.5,34.64,98.62,27.95,1,1,1,1,1,1,0.6149813897933362,High
R00152,State Highway,5.18,0,5.33,0,721.6,22.74,218.55,17.13,0,3,1,0,0,1,0.463998440440213,Moderate
R00153,Highway,5.96,0,10.55,0,1305.4,16.54,34.85,23.59,3,1,0,0,0,1,0.13031022183654473,Safe
R00154,District Road,1.54,1,4.74,2,917.9,8.06,181.54,18.86,4,4,1,1,1,0,0.7035162767888921,High
R00155,Village Road,16.01,0,10.28,3,108.9,35.83,24.57,33.04,0,1,0,0,0,1,0.1637855787260798,Safe
R00156,State Highway,8.63,0,10.15,1,596.7,22.52,67.76,21.06,4,2,0,0,0,1,0.11948577793803279,Safe
R00157,District Road,4.97,1,7.49,2,286.2,43.37,27.7,17.17,1,0,0,1,0,1,0.37970061992156257,Moderate
R00158,Village Road,5.02,1,5.1,1,2374.1,36.09,119.14,11.43,1,2,1,0,0,1,0.4615475503967761,Moderate
R00159,State Highway,18.08,0,5.04,1,816.4,18.9,11.42,13.64,3,0,0,0,0,1,0.1415369332926324,Safe
R00160,District Road,16.76,0,7.18,1,86.2,33.34,20.13,24.12,0,4,0,0,0,1,0.19517133740292228,Safe
R00161,State Highway,11.29,1,3.08,1,1668.4,20.4,96.01,27.53,2,1,1,0,0,1,0.33546588197603183,Moderate
R00162,District Road,12.51,3,7.78,3,619.5,3.59,105.44,33.86,1,0,0,0,0,1,0.1928050503653817,Safe
R00163,District Road,9.75,1,11.58,1,1438.5,23.25,84.98,24.92,4,0,0,0,0,1,0.20887260708929908,Safe
R00164,District Road,8.14,2,4.39,0,419.3,38.96,104.97,27.02,1,2,0,0,0,1,0.22043640871445636,Safe
R00165,Highway,18.35,1,8.16,2,2460.8,38.49,12.2,25.5,2,0,0,0,1,1,0.3358105274281186,Moderate
R00166,Village Road,2.95,0,11.66,3,2427.1,25.87,70.25,32.56,1,3,0,0,1,1,0.24156292527191467,Safe
R00167,State Highway,8.66,1,10.74,1,1657.2,17.1,71.72,17.56,3,1,0,0,1,1,0.2929225172340301,Moderate
R00168,State Highway,7.22,2,10.65,0,1782.6,0.45,78.73,25.08,1,2,1,0,0,1,0.37365864645258545,Moderate
R00169,Highway,10.21,1,10.4,0,1093.4,14.01,120.45,33.99,3,1,0,0,0,1,0.16701365306482796,Safe
R00170,District Road,9.42,2,5.78,0,2407.3,44.54,94.71,10.18,1,2,0,1,0,0,0.4328403091773452,Moderate
R00171,District Road,10.62,3,11.02,0,1088.2,32.69,212.14,16.77,4,3,1,0,0,0,0.5215968524708527,High
R00172,Highway,3.23,0,11.47,3,636.7,32.29,94.36,28.97,4,1,0,0,0,1,0.15003512552382894,Safe
R00173,District Road,10.51,0,7.46,0,332.7,34.25,108.14,21.75,1,3,0,0,0,1,0.2353817070163903,Safe
R00174,State Highway,5.23,0,6.19,1,559.9,27.91,33.12,14.21,5,3,0,0,0,1,0.07835898496862956,Safe
R00175,District Road,4.09,1,6.73,2,1451.9,26.36,98.11,24.29,6,1,0,0,0,1,0.23394227103581333,Safe
R00176,State Highway,1.76,0,6.01,2,650.5,20.41,52.16,22.88,1,2,1,0,0,1,0.3911534678586166,Moderate
R00177,District Road,15.37,2,4.91,0,1652.9,19.98,49.72,21.35,1,2,0,0,0,1,0.12888132370075425,Safe
R00178,State Highway,8.84,0,8.57,1,986.4,39.19,118.17,18.54,3,3,1,1,0,1,0.5695797871339221,High
R00179,Village Road,12.72,0,8.06,0,2222.8,17.71,20.19,11.31,1,4,0,0,0,1,0.04677970337948316,Safe
R00180,Highway,14.69,0,7.16,0,1418.3,37.81,77.92,25.1,3,1,0,0,0,1,0.16684389448614048,Safe
R00181,State Highway,13.75,3,3.86,1,1575.4,37.7,60.36,22.93,5,1,0,0,0,1,0.25668095717152245,Moderate
R00182,Highway,9.67,1,10.17,1,1413.6,34.69,130.88,24.63,2,1,0,1,0,1,0.45854613598535854,Moderate
R00183,Village Road,8.06,3,4.57,0,2219.6,1.69,119.84,10.06,5,2,0,0,0,1,0.21004271788049036,Safe
R00184,Village Road,7.83,3,4.03,1,205.4,6.66,61.49,12.07,4,0,0,0,1,0,0.2641872462395265,Moderate
R00185,State Highway,12.98,1,8.61,0,215.0,14.16,32.37,14.19,3,0,0,0,0,1,0.11438670085114384,Safe
R00186,District Road,10.15,0,6.59,3,1769.3,38.14,136.85,21.21,1,1,0,0,1,1,0.3326454620582936,Moderate
R00187,Village Road,17.06,0,3.54,1,1931.5,39.3,70.41,30.2,1,2,0,0,0,1,0.08954447424000571,Safe
R00188,District Road,17.56,0,6.2,2,1112.3,1.87,159.44,16.15,1,0,0,0,0,1,0.041575827450106184,Safe
R00189,District Road,3.83,2,9.95,0,913.1,14.61,90.59,30.21,2,0,1,0,1,0,0.4544598239210932,Moderate
R00190,State Highway,3.16,0,8.54,2,731.0,38.27,70.59,15.88,2,2,1,0,1,1,0.463975751611287,Moderate
R00191,Highway,12.79,0,6.27,1,624.3,11.24,55.05,28.73,1,0,0,0,0,1,0.14107881809843867,Safe
R00192,Village Road,6.37,1,4.73,0,2284.3,43.92,92.51,31.86,0,1,0,0,0,1,0.16849696675135956,Safe
R00193,Village Road,0.86,1,8.69,2,773.1,22.02,22.48,30.41,0,0,0,0,0,1,0.07388458954368057,Safe
R00194,District Road,17.83,1,10.99,2,1637.8,42.18,44.68,28.46,2,3,1,0,1,1,0.5540403240888648,High
R00195,State Highway,4.92,1,8.82,3,1978.4,19.3,143.1,10.96,2,1,0,0,0,1,0.23871805552884914,Safe
R00196,State Highway,18.62,2,10.32,2,103.8,14.57,26.26,18.25,1,2,0,0,0,1,0.14190414733526768,Safe
R00197,District Road,14.49,1,7.69,0,133.0,16.31,128.08,14.91,2,0,1,0,0,1,0.3544654522352647,Moderate
R00198,Village Road,15.37,0,9.46,1,866.2,39.79,177.97,21.86,1,2,0,0,0,1,0.23708647767588817,Safe
R00199,Village Road,4.43,2,11.07,1,1755.2,14.88,48.16,18.86,1,3,1,0,0,1,0.3030034520756734,Moderate
R00200,Village Road,5.07,3,9.96,0,689.0,30.12,189.08,25.45,2,2,0,0,0,1,0.34415780755605696,Moderate
R00201,District Road,10.66,0,11.19,2,53.6,21.14,254.33,24.14,2,0,1,0,1,1,0.5785675467411493,High
R00202,Highway,3.86,1,6.88,1,756.0,42.38,50.1,20.77,2,6,0,0,0,1,0.22484906972214325,Safe
R00203,State Highway,6.46,1,11.14,3,270.8,7.17,72.21,29.19,3,4,0,0,0,1,0.14806523302818592,Safe
R00204,Village Road,6.77,0,8.59,1,587.6,19.29,45.74,10.37,0,2,0,0,1,1,0.22829558838957634,Safe
R00205,District Road,3.61,2,10.83,1,866.3,5.61,86.4,31.64,2,2,0,0,0,1,0.12506968004602587,Safe
R00206,Highway,4.5,0,3.35,0,363.7,26.02,93.27,10.07,2,1,0,1,0,1,0.32076493334466744,Moderate
R00207,Highway,15.88,2,8.92,0,1780.6,18.13,48.09,21.3,1,1,0,0,0,1,0.2062657636771817,Safe
R00208,District Road,3.76,1,10.63,2,677.0,2.74,40.75,32.03,4,1,0,0,0,1,0.16439348442103885,Safe
R00209,Highway,1.05,1,4.57,3,1669.7,38.24,102.55,20.45,0,3,0,0,0,1,0.22886831512502748,Safe
R00210,State Highway,12.77,0,8.96,1,1517.6,16.9,59.72,28.89,3,1,0,0,0,1,0.1590332306489375,Safe
R00211,District Road,19.53,0,10.42,2,2250.2,22.21,55.56,20.07,1,1,0,0,0,1,0.14528351420740565,Safe
R00212,District Road,6.96,0,5.59,1,265.4,18.34,101.71,31.27,1,0,0,1,0,1,0.261637071305859,Moderate
R00213,District Road,2.81,0,6.65,3,575.8,21.99,54.43,34.98,1,0,0,0,0,1,0.15243826296978652,Safe
R00214,State Highway,11.62,0,8.13,0,2169.7,0.73,42.05,32.46,3,4,0,0,0,1,0.058105264810231025,Safe
R00215,District Road,18.17,2,7.67,1,2064.2,36.7,43.67,11.39,4,3,0,0,0,1,0.2555545256754137,Moderate
R00216,State Highway,15.79,1,3.35,1,520.7,14.95,171.3,13.71,1,2,1,0,1,1,0.5040648964261792,High
R00217,State Highway,12.64,2,3.89,1,314.0,32.6,89.08,23.55,0,2,1,0,0,1,0.41184157660052956,Moderate
R00218,District Road,6.64,1,3.9,0,2147.8,2.92,76.79,34.04,3,0,0,0,0,1,0.0,Safe
R00219,District Road,11.07,2,5.36,1,486.4,23.57,65.77,20.16,1,3,0,0,0,1,0.18081950902597083,Safe
R00220,Village Road,2.28,3,5.21,1,2184.2,40.9,66.04,16.93,0,4,1,0,0,0,0.5096839451100535,High
R00221,District Road,13.74,0,9.68,0,2404.7,17.92,15.77,34.12,3,1,1,0,0,1,0.2980187174603897,Moderate
